Date,State,TotalSamples,Negative,Positive,,,,,
04/04/20,Odisha,1395,1375,20,,,,,
04/04/20,Punjab,1824,1520,65,,,,,
04/04/20,Tamil Nadu,4248,3356,485,,,,,
04/05/20,Delhi,6567,5398,502,,,,,
04/05/20,Gujarat,2568,2418,128,,,,,
04/05/20,Jammu and Kashmir,1551,1429,106,,,,,
04/05/20,Karnataka,5543,5037,151,,,,,
04/05/20,Kerala,10221,9300,314,,,,,
04/05/20,Madhya Pradesh,2812,1954,193,,,,,
04/05/20,Maharashtra,16008,14837,748,,,,,
04/05/20,Odisha,1699,1676,23,,,,,
04/05/20,Punjab,2208,1711,68,,,,,
04/05/20,Rajasthan,12279,11439,260,,,,,
04/05/20,Tamil Nadu,4612,3702,571,,,,,
04/06/20,Delhi,8464,6711,525,,,,,
04/06/20,Gujarat,2879,2701,146,,,,,
04/06/20,Jammu and Kashmir,1708,1583,109,,,,,
04/06/20,Karnataka,5958,5503,163,,,,,
04/06/20,Kerala,10716,9607,327,,,,,
04/06/20,Madhya Pradesh,3323,2530,256,,,,,
04/06/20,Maharashtra,17563,15808,868,,,,,
04/06/20,Odisha,1888,1849,39,,,,,
04/06/20,Punjab,2384,1994,79,,,,,
04/06/20,Tamil Nadu,5015,4099,621,,,,,
04/07/20,Delhi,9041,7308,576,,,,,
04/07/20,Gujarat,3552,3257,175,,,,,
04/07/20,Jammu and Kashmir,1900,1763,125,,,,,
04/07/20,Karnataka,6580,5942,175,,,,,
04/07/20,Kerala,11232,10250,336,,,,,
04/07/20,Madhya Pradesh,3770,3125,290,,,,,
04/07/20,Maharashtra,20877,19290,1018,,,,,
04/07/20,Odisha,2210,2168,42,,,,,
04/07/20,Punjab,2559,2204,99,,,,,
04/07/20,Tamil Nadu,5305,4414,690,,,,,
04/08/20,Chandigarh,184,162,18,,,,,
04/08/20,Delhi,9332,7897,588,,,,,
04/08/20,Gujarat,4224,3905,186,,,,,
04/08/20,Jammu and Kashmir,2269,2116,139,,,,,
04/08/20,Karnataka,6967,6473,181,,,,,
04/08/20,Kerala,11986,10906,345,,,,,
04/08/20,Madhya Pradesh,4056,3442,341,,,,,
04/08/20,Maharashtra,27090,25753,1135,,,,,
04/08/20,Odisha,2441,2399,42,,,,,
04/08/20,Punjab,2937,2614,106,,,,,
04/08/20,Rajasthan,17638,16401,363,,,,,
04/08/20,Tamil Nadu,6095,4893,738,,,,,
04/09/20,Andhra Pradesh,5960,5597,363,,,,,
04/09/20,Chandigarh,199,169,18,,,,,
04/09/20,Delhi,9968,8643,720,,,,,
04/09/20,Gujarat,6199,5579,262,,,,,
04/09/20,Jammu and Kashmir,2649,2465,184,,,,,
04/09/20,Karnataka,7613,7176,197,,,,,
04/09/20,Kerala,12710,11469,357,,,,,
04/09/20,Madhya Pradesh,5135,3989,411,,,,,
04/09/20,Odisha,2841,2797,44,,,,,
04/09/20,Punjab,3192,2777,130,,,,,
04/09/20,Rajasthan,19107,17851,430,,,,,
04/09/20,Tamil Nadu,7267,5948,834,,,,,
04/10/20,Andhra Pradesh,6374,5993,381,,,,,
04/10/20,Chandigarh,223,199,19,,,,,
04/10/20,Delhi,11061,9662,903,,,,,
04/10/20,Gujarat,7718,7237,378,,,,,
04/10/20,Jammu and Kashmir,2961,2754,207,,,,,
04/10/20,Karnataka,7975,7673,207,,,,,
04/10/20,Kerala,13339,12335,364,,,,,
04/10/20,Madhya Pradesh,7049,4840,451,,,,,
04/10/20,Maharashtra,30000,28865,1135,,,,,
04/10/20,Odisha,3249,3201,48,,,,,
04/10/20,Punjab,3461,2972,151,,,,,
04/10/20,Rajasthan,22324,20673,520,,,,,
04/10/20,Tamil Nadu,8410,6838,911,,,,,
04/11/20,Maharashtra,31841,30477,1364,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,04/10/20
,,,,,,,,,04/11/20
